350593659: 可以，很久没看到这种正经（shadiao）而又有趣的作品了，希望你们可以包圆我的硬币[doge]
15618173: 皇后好可爱啊哈哈哈哈哈哈哈哈哈哈
60679429: 哈哈哈哈哈哈
哈哈哈哈哈哈
286147689: 有点意思。关注了期待后续更新[吃瓜]
334611790: 一级号，有吼吼吼吼，来，让姐姐骚扰一下
51510400: 小太监：概不退换啊
3151798: 这皇后娶的不错啊，能文能武，上得厅堂下得厨房还能解决各种穿越者，这皇上扮演的是皇后的角色吧
3548075: 好活→_→关注了
521019623: 真不错，这动漫真不错[OK]
7851871: 一级号?!可以欺负的官方!
22333484: 嗦铁栏杆就太草了[doge]
443837854: 现在关注了，以后我就是老粉了。up主必火，看好你呦[打call][呲牙]
291622038: 番名：《关于我带着辣条穿越这件事》[doge]
3276567: 哈哈哈哈好好的皇后可惜了一张嘴
165794721: 关注了，鬼才up
49886541: 皇后绝美。😃
389233152: [OK]你火了我就是老粉了已三连
387937282: 皇后安静时岁月静好，一张口天地诛灭[doge]
397255597: 你短了
389833783: 以后我就是老粉了[doge]
20332649: 皇上和皇后锁死我好喜欢这对哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
362686653: 关注了
362686653: 过气up主不敢贪心，只求大家能点个收藏，过两天取消都行，或者点个赞也行啊！反正也不要钱，可以嘛【小电视_害羞】【小电视_害羞】
20332649: 好可爱哈哈哈哈哈哈哈哈哈
4262311: 来啦老弟儿～发现宝藏了[doge][OK]
496883547: [热词系列_知识增加][热词系列_可以]
602412096: 哇，up主你的那个穿越者好真实啊，包括上一期也一样，👴i了，现在我就是你未来的百万粉丝的老粉之一了[滑稽]
29693554: 锅包肉内香捏儿
1592808: 整点啊？
12899048: 现在关注以后我是不是就是老粉了[歪嘴]
617766750: 有这皇后，想必陛下是饿不死了
180359821: 感觉这个会火
106440650: 东北皇后好爱啊[抠鼻][抠鼻][抠鼻][抠鼻]我是发现了啥神仙up，催更催更[打call][打call][打call][打call]
482195132: 加油加油(ง •̀_•́)ง等你百大！
23633782: 多好的皇后啊，就是长了嘴[doge][doge]
17419555: 我爱皇后！反了天了娶皇后不亏呀[歪嘴]勾引皇帝干啥呢？想吃皇后的铁锅炖大鹅！
244860886: 太艹了，宝藏up[Cat_coffeebath]
431123578: 啊，这发现宝藏啦！
398715295: 这个配音好好玩
398715295: 我们入冬了，up存心冻死人[偷笑]
36554281: [热词系列_你币有了]
406088222: 整个正常后宫[滑稽]
243767587: 想看第一集那个小萝莉和皇上之间的日常
94762455: 哈哈哈哈哈哈哈咱也算这个up的粉丝元老了
299987608: 画风好看啊
353353040: 高产？昨天刚刚关注的[妙啊]
3700717: 你嗦了两个铁栏杆吧[喜极而泣][喜极而泣]
180181442: 二个硬币支持一下，不要嫌少[OK]
260178791: 现在关注了，以后就是老粉了！[OK]
412127984: 一度怀疑自己有没有开弹幕[doge][doge]
33533482: 好看
830043: 早点关注当老粉
2799253: emmm，所以，我好想念双马尾啊！
3219675: 我看你像大ne[妙啊]
621719506: 唉，我还以为皇后是内个用辣条勾引的，没想到[喜极而泣]
333583431: 全程要素过多，有人来列个梗表吗[妙啊]
22016905: 爱了，三连了[OK][OK][OK]
14475621: 依然穷
588613758: 嗯，什么时候关注这么个奇奇怪怪的up[抠鼻]
245856930: 朕又来了
31698196: 果然昨天才关注今天就有惊喜嗷
91526715: 宝藏up
99509037: 现在关注，以后就是老粉了[tv_doge]
226997069: [热词系列_三连]拿去
636231693: 硬币收好，一直等着更新呢。这个画风好可爱(^-^)
22672150: 皇上也不容易啊
22420080: 大ne哈哈哈哈哈哈
274321819: 哈哈哈信我的，嗦冰棍不如嗦冬天的铁栏杆
536373107: 明明在前排，却想不出什么骚话[tv_皱眉]
35023194: 大声告诉我，我是不是前排！！！！！
485421633: 说真的，这漫画真他妈的。。。。。让我无语太好看了。😍😍😍😍😍
397207539: 动画剧情不错！关注了，火了以后我就是老粉了[吃瓜]
652661837: 哎呀呀，宝藏阿婆必须关注，1228个粉丝[doge]
289793394: 我刚关注就更新了，这么巧的吗[喜极而泣]
12137556: 啊～依然是穷穷的动画组[doge]没有钱买颜料上色呢[doge]硬币收好[doge]
489933623: 后宫佳丽三千，奇形怪状。
40782270: hahahahahahahah
602323350: 艹
2599730: 吹就完了hhh
2599730: 我是第一个hh我好紧张hh不知道该说些什么hhh
